fuelType,rating,renterTripsTaken,reviewCount,location.city,location.country,location.latitude,location.longitude,location.state,owner.id,rate.daily,vehicle.make,vehicle.model,vehicle.type,vehicle.year
ELECTRIC,5,15,11,Atlanta,US,33.746442,-84.372238,GA,2253859,134,Tesla,Model 3,car,2018
GASOLINE,4.96,152,140,Atlanta,US,33.927684,-84.343055,GA,511103,155,Chevrolet,Corvette Stingray,car,2014
GASOLINE,4.97,37,35,Atlanta,US,33.763413,-84.388602,GA,7982582,130,Audi,A8,car,2015
GASOLINE,4.99,81,73,College Park,US,33.640695,-84.44519,GA,6025007,58,Nissan,Altima,car,2018
GASOLINE,4.96,60,51,Atlanta,US,33.640655,-84.427646,GA,6025007,112,Audi,A7,car,2017
GASOLINE,5,23,21,Atlanta,US,33.740676,-84.358236,GA,8752492,209,Audi,RS 7,car,2014
GASOLINE,5,41,36,Lawrenceville,US,33.989753,-84.001209,GA,7952644,49,Dodge,Grand Caravan,minivan,2015
GASOLINE,5,29,27,Atlanta,US,33.74053,-84.357869,GA,8752492,129,Jaguar,XJ,car,2016
ELECTRIC,4.88,18,16,Duluth,US,33.970512,-84.161462,GA,8609349,159,Tesla,Model S,car,2018
GASOLINE,4.95,42,40,Douglasville,US,33.722786,-84.703698,GA,3983888,84,Mercedes-Benz,C-Class,car,2015
GASOLINE,5,42,38,Atlanta,US,33.927109,-84.343284,GA,511103,175,Chevrolet,Corvette,car,2017
GASOLINE,4.83,9,6,Atlanta,US,33.757344,-84.348425,GA,499566,189,Mercedes-Benz,S-Class,car,2016
GASOLINE,4.92,40,38,Atlanta,US,33.640694,-84.444701,GA,5878338,130,Chevrolet,Camaro,car,2017
GASOLINE,4.88,88,74,Atlanta,US,33.757548,-84.349273,GA,499566,150,Land Rover,Range Rover Sport,suv,2014
GASOLINE,5,1,1,Atlanta,US,33.850713,-84.36596,GA,10872556,125,Maserati,Quattroporte,car,2016
GASOLINE,4.84,38,32,Douglasville,US,33.7233,-84.703291,GA,3983888,76,INFINITI,Q50,car,2018
GASOLINE,4.92,76,71,Atlanta,US,33.668327,-84.417836,GA,10413163,147,Chevrolet,Corvette,car,2015
GASOLINE,5,5,5,Snellville,US,33.807278,-84.045917,GA,11258220,160,Porsche,Boxster,car,2014
ELECTRIC,4.85,35,27,Decatur,US,33.709589,-84.266785,GA,1661563,175,Tesla,Model 3,car,2019
DIESEL,4.97,32,29,East Point,US,33.653333,-84.492314,GA,7868475,89,Porsche,Cayenne,suv,2014
GASOLINE,4.98,72,59,Atlanta,US,33.927666,-84.34306,GA,511103,116,Ford,Mustang,car,2019
GASOLINE,5,17,11,Atlanta,US,33.782872,-84.384256,GA,8752492,136,Land Rover,Range Rover Sport,suv,2016
GASOLINE,4.82,56,50,Douglasville,US,33.723699,-84.702829,GA,3983888,56,Infiniti,EX35,suv,2008
GASOLINE,4.93,22,15,East Point,US,33.653788,-84.491291,GA,7697843,64,INFINITI,Q50,car,2018
GASOLINE,4.95,69,66,East Point,US,33.653412,-84.492217,GA,7868475,90,Mercedes-Benz,E-Class,car,2016
GASOLINE,4.9,61,50,East Point,US,33.652998,-84.490885,GA,7697843,55,Mazda,CX-5,suv,2018
GASOLINE,4.84,71,58,East Point,US,33.652323,-84.491513,GA,7697843,29,smart,fortwo,car,2015
GASOLINE,5,17,16,Decatur,US,33.75397,-84.234782,GA,15117491,78,BMW,Z4,car,2008
GASOLINE,4.89,9,9,Atlanta,US,33.926688,-84.343004,GA,511103,102,Chevrolet,Camaro,car,2018
GASOLINE,4.93,19,15,Atlanta,US,33.810233,-84.45316,GA,2052844,85,Land Rover,Range Rover Evoque,suv,2015
GASOLINE,5,2,2,Atlanta,US,33.852298,-84.367605,GA,5513653,98,BMW,X4,suv,2018
GASOLINE,5,45,40,East Point,US,33.653553,-84.492182,GA,7868475,90,Infiniti,QX60,suv,2015
ELECTRIC,5,21,19,Atlanta,US,33.765511,-84.387509,GA,3991249,150,Tesla,Model 3,car,2020
GASOLINE,4.98,54,44,Atlanta,US,33.875355,-84.461555,GA,499566,149,BMW,6 Series Gran Coupe,car,2013
GASOLINE,5,70,62,Atlanta,US,33.764041,-84.334534,GA,1077705,195,BMW,M4,car,2015
GASOLINE,5,13,13,Alpharetta,US,34.110042,-84.228422,GA,10851739,130,Mercedes-Benz,C-Class,car,2016
ELECTRIC,5,51,44,East Point,US,33.702353,-84.443573,GA,1439133,209,Tesla,Model X,suv,2018
GASOLINE,4.94,61,51,Peachtree Corners,US,33.938981,-84.239727,GA,6077494,123,Maserati,Ghibli,car,2015
GASOLINE,,0,0,Atlanta,US,33.64092,-84.444136,GA,10696094,70,Mercedes-Benz,GLA-Class,suv,2015
GASOLINE,5,5,4,Atlanta,US,33.64054,-84.426852,GA,7678058,250,Maserati,Ghibli,car,2015
GASOLINE,5,2,2,Atlanta,US,33.889415,-84.453633,GA,12796797,120,Chevrolet,Camaro,car,2019
GASOLINE,5,39,31,Atlanta,US,33.879187,-84.456395,GA,6580855,65,Mercedes-Benz,C-Class,car,2016
GASOLINE,5,14,14,Smyrna,US,33.878293,-84.48794,GA,9971230,180,BMW,M4,car,2016
ELECTRIC,4.94,18,18,Atlanta,US,33.833257,-84.483681,GA,4266637,156,Tesla,Model 3,car,2018
GASOLINE,5,13,13,Atlanta,US,33.784923,-84.381204,GA,11968412,64,BMW,5 Series,car,2011
ELECTRIC,4.89,56,47,Atlanta,US,33.900611,-84.326224,GA,4887223,245,Tesla,Model X,suv,2016
GASOLINE,4.93,72,61,Fairburn,US,33.586691,-84.591842,GA,1428350,299,BMW,i8,car,2015
GASOLINE,5,2,2,Grayson,US,33.905743,-83.959959,GA,1295660,98,Mercedes-Benz,E-Class,car,2017
GASOLINE,5,12,11,Atlanta,US,33.81319,-84.393162,GA,9451897,140,Land Rover,Range Rover Sport,suv,2018
GASOLINE,5,25,22,Clarkston,US,33.799778,-84.253865,GA,1879749,205,Chevrolet,Corvette,car,2016
GASOLINE,4.92,37,36,Atlanta,US,33.647454,-84.453073,GA,8444510,32,Ford,Fiesta,car,2017
GASOLINE,5,35,35,Atlanta,US,33.810451,-84.452199,GA,1103338,300,Mercedes-Benz,AMG GT,car,2016
GASOLINE,4.94,19,18,Atlanta,US,33.875559,-84.462533,GA,499566,99,Volkswagen,Arteon,car,2019
GASOLINE,4.97,41,34,Atlanta,US,33.878716,-84.456566,GA,6580855,35,Ford,Fiesta,car,2015
GASOLINE,5,41,39,Atlanta,US,33.668602,-84.418653,GA,10413163,135,Maserati,Ghibli,car,2015
GASOLINE,4.89,11,9,Atlanta,US,33.890901,-84.453496,GA,12796797,150,BMW,X6,suv,2018
GASOLINE,4.9,14,10,Smyrna,US,33.849506,-84.520721,GA,11312622,90,Mercedes-Benz,SLK-Class,car,2013
ELECTRIC,,0,0,Atlanta,US,33.789835,-84.388128,GA,1523445,138,Tesla,Model 3,car,2020
GASOLINE,4.86,7,7,Atlanta,US,33.659791,-84.432933,GA,15406472,150,Land Rover,Range Rover Velar,suv,2019
GASOLINE,4.91,53,45,Atlanta,US,33.776537,-84.359708,GA,464263,385,Bentley,Continental GT,car,2005
GASOLINE,5,5,5,Atlanta,US,33.749752,-84.400123,GA,1846481,250,Porsche,Panamera,car,2018
ELECTRIC,5,6,5,Atlanta,US,33.884486,-84.463509,GA,2312511,150,Tesla,Model X,suv,2016
HYBRID,5,12,11,Snellville,US,33.809233,-84.047014,GA,11258220,202,Porsche,Cayenne,suv,2017
GASOLINE,,0,0,Marietta,US,33.91812,-84.554541,GA,735348,135,Porsche,718 Cayman,car,2017
ELECTRIC,5,2,2,Alpharetta,US,34.067805,-84.213456,GA,11216559,151,Tesla,Model 3,car,2019
GASOLINE,4.82,71,61,Atlanta,US,33.927373,-84.342797,GA,511103,110,Porsche,Cayenne,suv,2011
GASOLINE,5,6,5,Kennesaw,US,34.019483,-84.565131,GA,15256714,300,Jaguar,F-TYPE,car,2016
GASOLINE,4.73,27,26,Atlanta,US,33.648408,-84.45384,GA,8444510,32,Ford,Fiesta,car,2017
GASOLINE,4.96,59,54,Atlanta,US,33.927706,-84.342776,GA,511103,95,Chevrolet,Camaro,car,2016
GASOLINE,5,5,4,Snellville,US,33.807028,-84.045642,GA,11258220,150,Audi,TTS,car,2017
GASOLINE,5,3,1,Kennesaw,US,33.990955,-84.628724,GA,1140700,60,BMW,X4,suv,2017
GASOLINE,4.85,51,48,Atlanta,US,33.927656,-84.343058,GA,511103,129,Dodge,Charger,car,2017
GASOLINE,,0,0,Fairburn,US,33.621941,-84.65349,GA,1278682,82,Mercedes-Benz,C-Class,car,2016
GASOLINE,,1,0,Atlanta,US,33.776511,-84.408414,GA,15071013,105,GMC,Yukon,suv,2019
ELECTRIC,5,23,21,Atlanta,US,33.713244,-84.502636,GA,9326905,147,Tesla,Model 3,car,2019
GASOLINE,4.85,28,26,Atlanta,US,33.68153,-84.407289,GA,3792936,122,Chevrolet,Suburban,suv,2011
GASOLINE,4.74,28,23,Atlanta,US,33.63415,-84.454896,GA,10250575,49,Toyota,Corolla,car,2020
GASOLINE,5,26,21,Peachtree City,US,33.402177,-84.563264,GA,12096465,139,Porsche,Boxster,car,2015
ELECTRIC,4.77,17,13,Duluth,US,33.992062,-84.154258,GA,6514411,149,Tesla,Model 3,car,2019
GASOLINE,4.51,51,39,Atlanta,US,33.772126,-84.419021,GA,7221030,37,Mitsubishi,Mirage,car,2014
GASOLINE,5,15,9,Marietta,US,33.914354,-84.48546,GA,1919268,180,Chevrolet,Corvette,car,2017
GASOLINE,4.88,47,42,Atlanta,US,33.66857,-84.417392,GA,6482788,165,Porsche,Panamera,car,2016
DIESEL,5,2,1,Atlanta,US,33.910368,-84.483288,GA,11454718,211,Land Rover,Range Rover,suv,2016
GASOLINE,4.87,56,47,Atlanta,US,33.811362,-84.452952,GA,2052844,120,BMW,4 Series,car,2014
GASOLINE,4.92,45,40,Atlanta,US,33.783971,-84.383664,GA,8752492,99,Lexus,IS 200t,car,2016
GASOLINE,5,3,2,Atlanta,US,33.682324,-84.409111,GA,3792936,127,Chevrolet,Suburban,suv,2012
GASOLINE,4.86,30,28,Atlanta,US,33.647684,-84.453383,GA,8444510,32,Nissan,Versa,car,2017
GASOLINE,5,14,11,Woodstock,US,34.070795,-84.528949,GA,14354281,200,Maserati,Ghibli,car,2017
GASOLINE,5,27,24,Mableton,US,33.80541,-84.526445,GA,217743,386,Jaguar,F-TYPE,car,2014
GASOLINE,5,6,6,Bremen,US,33.735152,-85.143922,GA,15581324,94,BMW,4 Series,car,2015
GASOLINE,5,58,55,Atlanta,US,33.927733,-84.342829,GA,511103,89,Dodge,Challenger,car,2019
GASOLINE,4.92,33,25,Atlanta,US,33.667803,-84.418423,GA,10413163,137,Audi,A7,car,2017
GASOLINE,5,15,14,Newnan,US,33.394151,-84.732845,GA,13728129,97,Ford,Mustang,car,2014
GASOLINE,5,5,3,Lithonia,US,33.723632,-84.092345,GA,15031450,160,Maserati,Ghibli,car,2017
DIESEL,5,15,15,Douglasville,US,33.72414,-84.732501,GA,14841812,108,Audi,Q7,suv,2015
GASOLINE,,0,0,Douglasville,US,33.63681,-84.827506,GA,2530195,135,Acura,MDX,suv,2016
GASOLINE,5,10,10,Conyers,US,33.57398,-83.997441,GA,15152803,128,Ford,Mustang,car,2018
ELECTRIC,5,11,8,Atlanta,US,33.992527,-84.341541,GA,310752,167,Tesla,Model S,car,2015
GASOLINE,4.89,69,65,Decatur,US,33.723657,-84.168811,GA,7363993,42,Hyundai,Accent,car,2017
GASOLINE,4.98,128,117,Atlanta,US,33.92741,-84.342783,GA,511103,85,Dodge,Challenger,car,2018
GASOLINE,5,9,8,Atlanta,US,33.66851,-84.418445,GA,6482788,130,Maserati,Ghibli,car,2015
ELECTRIC,4.89,76,70,Peachtree City,US,33.370201,-84.530407,GA,1416567,115,Tesla,Model S,car,2013
,,0,0,Atlanta,US,33.595022,-84.422693,GA,14917535,28,Kia,Rio,car,2020
GASOLINE,5,15,11,Atlanta,US,33.850201,-84.366107,GA,10872556,48,Nissan,Altima,car,2018
ELECTRIC,,0,0,Mableton,US,33.813345,-84.529672,GA,217743,350,Tesla,Model X,suv,2017
GASOLINE,5,6,5,Woodstock,US,34.070353,-84.529444,GA,14354281,200,Mercedes-Benz,S-Class,car,2014
ELECTRIC,,0,0,Decatur,US,33.814368,-84.258781,GA,270450,179,Tesla,Model 3,car,2018
GASOLINE,4.74,91,76,Atlanta,US,33.822774,-84.37176,GA,10216804,48,Volkswagen,Jetta,car,2011
GASOLINE,5,2,1,Decatur,US,33.753546,-84.234219,GA,15117491,64,Volkswagen,New Beetle,car,2008
GASOLINE,4.75,17,16,Atlanta,US,33.787378,-84.387736,GA,6830247,172,Porsche,Cayenne,suv,2017
GASOLINE,5,5,5,Atlanta,US,33.683468,-84.538252,GA,3665954,150,Chevrolet,Silverado 1500,truck,2017
ELECTRIC,4.83,25,18,Duluth,US,34.037805,-84.171103,GA,8655954,149,Tesla,Model 3,car,2020
HYBRID,4.77,14,13,east point,US,33.659394,-84.476251,GA,4782598,44,Kia,Optima,car,2016
GASOLINE,4.9,64,51,Atlanta,US,33.668674,-84.417697,GA,6482788,120,Porsche,Macan,suv,2017
GASOLINE,5,26,22,Fairburn,US,33.580143,-84.643162,GA,12029322,38,Kia,Sorento,suv,2014
GASOLINE,5,4,3,Stone Mountain,US,33.792982,-84.194177,GA,5253132,82,Jeep,Wrangler,suv,2017
GASOLINE,,0,0,Atlanta,US,33.837361,-84.363373,GA,4726027,112,GMC,Yukon XL,suv,2019
GASOLINE,5,17,14,Norcross,US,33.970895,-84.199674,GA,5586320,149,Porsche,Boxster,car,2015
GASOLINE,5,13,11,Smyrna,US,33.88,-84.511796,GA,1740878,80,Lexus,IS,car,2020
GASOLINE,4.63,271,195,Atlanta,US,33.648355,-84.454283,GA,507900,39,Nissan,Versa Note,car,2015
GASOLINE,4.86,73,63,Atlanta,US,33.668797,-84.419681,GA,6482788,120,Mercedes-Benz,CLS-Class,car,2016
GASOLINE,,0,0,Atlanta,US,33.60241,-84.438334,GA,8814550,87,Dodge,Charger,car,2020
GASOLINE,5,7,6,Lithia Springs,US,33.784387,-84.636909,GA,9218210,35,Kia,Soul,car,2014
GASOLINE,4.78,62,49,Atlanta,US,33.582899,-84.471096,GA,1426383,35,Volkswagen,Passat,car,2015
GASOLINE,4.81,139,98,Atlanta,US,33.646342,-84.453593,GA,507900,51,Nissan,Altima,car,2016
GASOLINE,4.96,26,23,Atlanta,US,33.878617,-84.456585,GA,6580855,40,Hyundai,Elantra,car,2019
GASOLINE,5,56,51,Atlanta,US,33.927371,-84.342878,GA,511103,89,Jeep,Grand Cherokee,suv,2019
GASOLINE,5,15,13,Smyrna,US,33.849251,-84.519273,GA,11312622,72,MINI,Cooper,car,2015
GASOLINE,5,5,4,Dunwoody,US,33.928988,-84.342407,GA,511103,89,Jeep,Grand Cherokee,suv,2017
GASOLINE,4.84,54,49,Atlanta,US,33.822646,-84.371718,GA,10216804,40,Volkswagen,Passat,car,2012
HYBRID,5,6,2,Atlanta,US,33.937641,-84.37613,GA,12800611,600,BMW,i8,car,2016
GASOLINE,4.89,26,19,Sandy Springs,US,33.934747,-84.365228,GA,1251177,199,Land Rover,Range Rover Velar,suv,2018
ELECTRIC,5,7,3,Mableton,US,33.806156,-84.52637,GA,217743,265,Tesla,Model 3,car,2020
ELECTRIC,5,36,34,Dunwoody,US,33.922219,-84.304205,GA,8691695,200,Tesla,Model 3,car,2020
ELECTRIC,4.79,99,78,Atlanta,US,33.667415,-84.419198,GA,6482788,120,Tesla,Model S,car,2013
HYBRID,4.83,23,18,East Point,US,33.658852,-84.477021,GA,4782598,39,Toyota,Prius,car,2010
GASOLINE,4.94,39,36,Atlanta,US,33.667718,-84.419644,GA,10413163,85,Mercedes-Benz,E-Class,car,2016
GASOLINE,4.79,45,38,Atlanta,US,33.582376,-84.470943,GA,1426383,57,BMW,X5,suv,2009
GASOLINE,5,10,9,Atlanta,US,33.696169,-84.520114,GA,1891792,57,Jeep,Compass,suv,2018
GASOLINE,5,4,4,Douglasville,US,33.768065,-84.74567,GA,5133548,226,Polaris,Slingshot,car,2017
GASOLINE,4.86,27,22,Decatur,US,33.721839,-84.169642,GA,7363993,44,Chevrolet,Cruze,car,2017
GASOLINE,4.97,41,35,Atlanta,US,33.668353,-84.418542,GA,10413163,112,Jeep,Wrangler Unlimited,suv,2019
GASOLINE,4.67,3,3,Sandy Springs,US,33.917415,-84.359627,GA,15346119,148,Chevrolet,Camaro,car,2015
GASOLINE,5,21,19,Atlanta,US,33.786892,-84.381403,GA,5801653,153,Mercedes-Benz,E-Class,car,2014
GASOLINE,4.8,5,5,Sugar Hill,US,34.122754,-84.03311,GA,6939498,74,Chrysler,300,car,2018
GASOLINE,4.69,14,13,Sandy Springs,US,33.934135,-84.364693,GA,1251177,269,Maserati,Levante,suv,2020
GASOLINE,4.86,91,69,Atlanta,US,33.813481,-84.365042,GA,7725344,129,Mercedes-Benz,E-Class,car,2012
GASOLINE,4.95,21,19,Atlanta,US,33.740154,-84.358581,GA,10167863,84,Jeep,Wrangler,suv,2017
GASOLINE,5,9,8,Marietta,US,33.885875,-84.56284,GA,14953193,58,Hyundai,Genesis,car,2014
GASOLINE,,0,0,Atlanta,US,33.850502,-84.367464,GA,1057995,150,BMW,X5,suv,2015
GASOLINE,4.9,159,146,Atlanta,US,33.58197,-84.471549,GA,1426383,33,Nissan,Sentra,car,2017
GASOLINE,4.86,82,70,Decatur,US,33.709443,-84.266606,GA,1661563,50,Toyota,Camry,car,2017
GASOLINE,4.67,84,70,Atlanta,US,33.582189,-84.471143,GA,1426383,47,BMW,3 Series,car,2011
GASOLINE,4.89,10,9,Marietta,US,33.935586,-84.470631,GA,15185267,50,Toyota,RAV4,suv,2017
GASOLINE,,0,0,Stockbridge,US,33.54394,-84.231526,GA,10439598,150,Chevrolet,Tahoe,suv,2015
GASOLINE,5,71,63,Suwanee,US,34.050037,-84.089022,GA,312450,99,Mazda,MX-5 Miata,car,2016
GASOLINE,5,2,2,Conyers,US,33.661941,-84.088375,GA,15693009,71,Dodge,Grand Caravan,minivan,2016
GASOLINE,4.86,75,66,Decatur,US,33.708738,-84.267147,GA,1661563,56,Toyota,Camry,car,2018
GASOLINE,,0,0,Powder Springs,US,33.901501,-84.674359,GA,8952295,140,BMW,X4,suv,2020
GASOLINE,5,3,3,Lithonia,US,33.722747,-84.168365,GA,7363993,45,Chevrolet,Cruze,car,2017
HYBRID,4.81,106,88,Decatur,US,33.709128,-84.266907,GA,1661563,64,Lexus,HS 250h,car,2010
GASOLINE,4.72,67,64,Atlanta,US,33.773652,-84.420303,GA,7221030,70,Audi,A4,car,2012
GASOLINE,4.92,159,139,Forest Park,US,33.606816,-84.36688,GA,1727097,52,Kia,Optima,car,2013
GASOLINE,5,12,9,Decatur,US,33.709186,-84.265834,GA,1661563,60,Toyota,Sienna,minivan,2012
,,0,0,Stone Mountain,US,33.76981,-84.19351,GA,5162679,67,Toyota,Camry,car,2020
GASOLINE,5,3,3,Atlanta,US,33.605798,-84.501351,GA,15622497,48,Jeep,Patriot,suv,2015
GASOLINE,5,11,6,Decatur,US,33.793057,-84.290081,GA,14910142,132,Mercedes-Benz,CLA-Class,car,2018
GASOLINE,4.9,66,49,Decatur,US,33.707521,-84.267661,GA,1661563,54,Toyota,Camry,car,2018
GASOLINE,4.88,59,52,Norcross,US,33.932806,-84.139116,GA,3698495,63,Ford,Escape,suv,2017
GASOLINE,4.83,44,36,Decatur,US,33.708748,-84.267983,GA,1661563,54,Toyota,Camry,car,2017
GASOLINE,5,10,10,Sandy Springs,US,33.984904,-84.342695,GA,14634339,176,Chevrolet,Suburban,suv,2019
GASOLINE,4.97,41,37,McDonough,US,33.466806,-84.216997,GA,10244672,90,Lexus,IS 250,car,2015
GASOLINE,4.87,66,54,Norcross,US,33.932088,-84.14028,GA,3698495,62,Ford,Focus,car,2018
ELECTRIC,5,4,2,McDonough,US,33.504183,-84.169019,GA,7934891,800,Tesla,Model X,suv,2019
,5,10,8,Atlanta,US,33.753282,-84.466572,GA,1886829,299,Land Rover,Range Rover,suv,2020
,4.8,5,5,Duluth,US,34.033443,-84.181063,GA,886557,216,Audi,A8,car,2015
GASOLINE,4.91,36,34,Atlanta,US,33.811329,-84.375881,GA,3659271,99,BMW,4 Series Gran Coupe,car,2016
GASOLINE,4.86,73,64,Covington,US,33.594282,-83.968334,GA,1238898,50,Nissan,Altima,car,2015
GASOLINE,5,27,23,Marietta ,US,33.91835,-84.553948,GA,735348,125,Ford,F-150,truck,2019
GASOLINE,4.73,56,51,Decatur,US,33.708559,-84.267069,GA,1661563,45,Toyota,Yaris iA,car,2017
GASOLINE,4.7,100,81,Atlanta,US,33.772969,-84.419985,GA,7221030,50,Buick,LaCrosse,car,2016
GASOLINE,5,18,14,Snellville,US,33.855996,-84.032137,GA,308839,53,Acura,TSX,car,2011
GASOLINE,4.85,34,33,McDonough,US,33.467875,-84.216673,GA,10244672,90,Lexus,IS 250,car,2015
GASOLINE,4.73,52,37,Atlanta,US,33.772143,-84.418645,GA,7221030,58,Volkswagen,Tiguan,suv,2011
HYBRID,4.88,52,40,Decatur,US,33.707789,-84.26747,GA,1661563,43,Toyota,Camry,car,2008
GASOLINE,,0,0,Stonecrest,US,33.696395,-84.171172,GA,15739167,103,Lexus,IS 250,car,2014
GASOLINE,4.88,19,17,Snellville ,US,33.85478,-84.031592,GA,308839,52,Acura,TSX,car,2011
HYBRID,4.86,66,56,Austin,US,30.286223,-97.706597,TX,4353395,37,Toyota,Prius v,car,2012
GASOLINE,4.98,60,47,Austin,US,30.284071,-97.706141,TX,988215,38,Volkswagen,Jetta,car,2017
GASOLINE,4.97,39,35,Austin,US,30.307308,-97.709255,TX,10089647,35,Kia,Soul,car,2018
